id,Name,titleProject_id,class,score,login, password
0,Сербин Геннадий Михаилович,7,8в,2,Сербин_ГМ,onkGa4Yr
1,Папандина Клавдия Яковлевна,304,9в,5,Папандина_КЯ,pO1aGgi1
2,Белагина Галина Андреевна,396,9а,4,Белагина_ГА,eHh9383Y
3,Кижняева Анна Леонидовна,178,7и,2,Кижняева_АЛ,52N6RkCI
4,Цывин Олег Яковлевич,446,7т,2,Цывин_ОЯ,9tZcb94W
5,Жидняева Ксения Эдуардовна,373,7х,4,Жидняева_КЭ,K49iBdvj
6,Липковский Анатолий Иванович,144,10а,2,Липковский_АИ,aCj4E32f
7,Меднова Наталья Богдановна,290,7и,5,Меднова_НБ,JxADid0y
8,Житихин Вячеслав Романович,141,9а,5,Житихин_ВР,u0QEw234
9,Шеврина Полина Максимовна,33,11а,5,Шеврина_ПМ,5WPX05bB
10,Алпеев Валентин Данилович,323,8а,2,Алпеев_ВД,xADMyzZi
11,Золикова Клара Игоревна,364,10х,2,Золикова_КИ,8U800f2A
12,Дориков Дмитрий Петрович,296,10г,5,Дориков_ДП,o792XpQv
13,Корабышев Кирилл Михаилович,302,8и,5,Корабышев_КМ,7vL3ll3J
14,Ростовиков Константин Николаевич,336,10а,2,Ростовиков_КН,Q2q1of87
15,Нехаев Дмитрий Фёдорович,129,7х,4,Нехаев_ДФ,fAtUh7Hl
16,Зызлова Мария Николаевна,430,8г,3,Зызлова_МН,08968794
17,Королупов Валерий Тимофеевич,397,10д,5,Королупов_ВТ,nZ31zGg2
18,Стенцов Евгений Яковлевич,315,8и,4,Стенцов_ЕЯ,d793I989
19,Феклисов Константин Виталиевич,270,9т,None,Феклисов_КВ,LMg2tKr5
20,Синелев Руслан Тимофеевич,300,8и,2,Синелев_РТ,v5ntZdz7
21,Опевалова Вера Евгеньевна,473,9д,5,Опевалова_ВЕ,a58CnSkl
22,Назерова Вероника Василевна,206,7б,5,Назерова_ВВ,Ces4s2sm
23,Дименская Светлана Дмитриевна,387,9д,5,Дименская_СД,8A9MQnxu
24,Ковторева Раиса Василевна,482,9и,2,Ковторева_РВ,1dZ96pVq
25,Кулишнин Вячеслав Яковлевич,386,11х,5,Кулишнин_ВЯ,TU4Gm902
26,Лексин Кирилл Антонович,139,7в,5,Лексин_КА,835qjE3Y
27,Лаковский Григорий Василиевич,240,7д,5,Лаковский_ГВ,xPkM7IKU
28,Барамыкова Александра Алексеевна,106,10а,3,Барамыкова_АА,X7K26ept
29,Плясулина Оксана Андреевна,346,8х,2,Плясулина_ОА,8E7988fB
30,Петрикеев Станислав Яковлевич,14,7и,4,Петрикеев_СЯ,ISoM17K9
31,Моторыгин Илья Георгиевич,238,10и,5,Моторыгин_ИГ,A4k0HoaY
32,Рыков Тарас Павлович,174,10и,5,Рыков_ТП,Sk3Ycg1O
33,Иончикова Елизавета Егоровна,169,8д,5,Иончикова_ЕЕ,15AuctYX
34,Смолькина Алиса Егоровна,441,7г,5,Смолькина_АЕ,G122b7Z4
35,Оболенин Герасим Павлович,472,7и,4,Оболенин_ГП,8N5FW1E4
36,Трощинский Георгий Борисович,67,9д,3,Трощинский_ГБ,ctRk54NX
37,Поддубская Лиза Игоревна,496,10а,4,Поддубская_ЛИ,p70HgjPT
38,Телькова Валерия Олеговна,335,7х,4,Телькова_ВО,ZZF5S7J7
39,Чигварина Александра Алексеевна,428,10б,2,Чигварина_АА,6669xGq2
40,Киреевский Артур Игоревич,119,7в,3,Киреевский_АИ,7OICUnfZ
41,Шумейкин Роман Павлович,420,8в,5,Шумейкин_РП,IDst2lY5
42,Трушинов Максим Алексиевич,82,8и,4,Трушинов_МА,JIlfb2l1
43,Голюков Денис Сергеевич,62,11б,4,Голюков_ДС,SXwbo4IZ
44,Хлиманкова Надежда Валерьевна,461,10б,3,Хлиманкова_НВ,N0IOvWG6
45,Кулаженков Алексей Олегович,367,10в,2,Кулаженков_АО,3Qieo1l5
46,Бутукин Владимир Адамович,221,7х,5,Бутукин_ВА,yw85kgE8
47,Поддуев Леонид Олегович,149,9х,4,Поддуев_ЛО,6Vqwj4IA
48,Ревцев Василий Павлович,360,9х,5,Ревцев_ВП,6FOJO6B3
49,Старокожев Артём Юрьевич,46,8д,3,Старокожев_АЮ,t2z8vtnb
50,Светошев Максим Михаилович,321,10х,2,Светошев_ММ,vDJe3YWC
51,Старынина Кристина Федоровна,266,9д,3,Старынина_КФ,353y54w9
52,Востров Дмитрий Денисович,282,9г,3,Востров_ДД,RSKsKIAh
53,Бураханова Анастасия Леонидовна,16,8г,2,Бураханова_АЛ,M8gQ0M0K
54,Понизов Виктор Кириллович,214,11и,5,Понизов_ВК,9eTSmUi7
55,Суздалев Валерий Алексеевич,66,11т,5,Суздалев_ВА,m76Y1Wyq
56,Колендин Дмитрий Алексеевич,153,10в,4,Колендин_ДА,3a3584dr
57,Сулькова Екатерина Андреевна,325,8и,4,Сулькова_ЕА,6k2D0t7G
58,Аржевитова Надежда Федоровна,242,10в,2,Аржевитова_НФ,03Q4O7P5
59,Крассов Валерий Олегович,201,8х,5,Крассов_ВО,K8sAw6Pn
60,Сонураева Инна Андреевна,450,9т,3,Сонураева_ИА,uP8BKYVd
61,Пашин Роман Вадимович,204,10д,2,Пашин_РВ,2bO27Paa
62,Фичкина Евгения Федоровна,29,11д,3,Фичкина_ЕФ,415zWW44
63,Свилин Олег Виталиевич,123,8в,2,Свилин_ОВ,Hi0cF6eK
64,Рогоцкий Андрей Адамович,142,9в,2,Рогоцкий_АА,SpN6745A
65,Ахантьев Игорь Валериевич,80,10д,5,Ахантьев_ИВ,2Z14aHCx
66,Сочиникова Ксения Кирилловна,100,10д,2,Сочиникова_КК,edS0w1fn
67,Остюков Артур Романович,329,11и,3,Остюков_АР,PRjF9W87
68,Брюкина Оксана Викторовна,98,8в,5,Брюкина_ОВ,P3WpNaQa
69,Кузовенков Игорь Юрьевич,322,9г,None,Кузовенков_ИЮ,t5205m5b
70,Калухов Тарас Иванович,207,11а,3,Калухов_ТИ,8B4w2029
71,Батыров Пётр Виталиевич,227,7и,3,Батыров_ПВ,tcmV2zVM
72,Озрина Катерина Валерьевна,147,10а,4,Озрина_КВ,81ERuQ1u
73,Декалова Полина Леонидовна,470,11д,5,Декалова_ПЛ,T778550b
74,Лосицкий Владимир Кириллович,369,9т,5,Лосицкий_ВК,9cc679VR
75,Магнусов Пётр Максимович,437,7и,5,Магнусов_ПМ,lNx84sd1
76,Лавренков Михаил Василиевич,188,9б,2,Лавренков_МВ,1o68e634
77,Шушкалова Вероника Алексеевна,411,8т,5,Шушкалова_ВА,7IIsF5F3
78,Бороданова Маргарита Дмитриевна,118,7г,5,Бороданова_МД,ntNV8syd
79,Циркина Виолетта Федоровна,231,9г,2,Циркина_ВФ,03mk5bnV
80,Болохина Екатерина Андреевна,194,11д,3,Болохина_ЕА,MHO9xA3O
81,Чукалова Дарья Валерьевна,20,10г,4,Чукалова_ДВ,euC5J99d
82,Беловолов Степан Петрович,222,9д,2,Беловолов_СП,2tfjB895
83,Зудейкина Вероника Ивановна,166,8и,3,Зудейкина_ВИ,gT50CHEV
84,Макунова Мария Борисовна,47,9в,5,Макунова_МБ,4ld7SI3D
85,Верзанский Геннадий Андреевич,497,7д,5,Верзанский_ГА,fX2Hicoc
86,Алтубин Ярослав Леонидович,414,10г,5,Алтубин_ЯЛ,o0g52HDg
87,Аузин Игорь Алексиевич,435,8х,5,Аузин_ИА,L35W3rfl
88,Калыгин Степан Тимофеевич,353,8и,2,Калыгин_СТ,H26I1T7Q
89,Дурныгина Полина Игоревна,72,8и,2,Дурныгина_ПИ,wxO3t2Zz
90,Антюфеева Александра Вадимовна,347,8и,2,Антюфеева_АВ,is9S6tlC
91,Лощинский Борис Романович,210,10б,3,Лощинский_БР,cf3XUO89
92,Ходорков Евгений Виталиевич,344,9г,5,Ходорков_ЕВ,l86WjTWb
93,Кафорин Федор Данилович,427,10д,3,Кафорин_ФД,4t46MWoA
94,Косынская Алиса Дмитриевна,40,9в,3,Косынская_АД,wMie9R6f
95,Беремцев Артём Антонович,434,11т,2,Беремцев_АА,3Gl07Rr3
96,Влянская Мария Андреевна,490,7т,4,Влянская_МА,91rL4Ebf
97,Мыгеева Лиза Василевна,280,8в,5,Мыгеева_ЛВ,tDLbk66P
98,Акутникова Мария Алексеевна,173,11в,2,Акутникова_МА,mxAih9h7
99,Карябкин Константин Максимович,89,7и,2,Карябкин_КМ,hXvBt48y
100,Прилепина Яна Максимовна,30,10в,5,Прилепина_ЯМ,k794k25Z
101,Ведищев Никита Георгиевич,365,7и,5,Ведищев_НГ,l7o10zG3
102,Самчева Вероника Борисовна,287,10г,3,Самчева_ВБ,NJ5OF9GB
103,Пирцхалова Карина Леонидовна,452,10г,5,Пирцхалова_КЛ,xtvkOlU0
104,Павлочев Денис Борисович,432,11д,5,Павлочев_ДБ,g25J5Ow2
105,Арашкова Екатерина Евгеньевна,356,8х,None,Арашкова_ЕЕ,G3e913qC
106,Байсарова Людмила Василевна,215,11и,2,Байсарова_ЛВ,2c8pmZen
107,Кудекина Зинаида Игоревна,250,10и,3,Кудекина_ЗИ,oveH0K2R
108,Дерналов Виталий Викторович,1,9г,4,Дерналов_ВВ,5V2EkIOw
109,Сазинова Галина Романовна,61,9и,3,Сазинова_ГР,VGwF1U29
110,Остаченова Марина Эдуардовна,229,9т,5,Остаченова_МЭ,X3bVK08l
111,Битюкова Яна Егоровна,488,9и,4,Битюкова_ЯЕ,7GSrFJLE
112,Иваницкий Константин Борисович,232,8д,5,Иваницкий_КБ,mB01LJX9
113,Белянский Владислав Игоревич,74,11б,5,Белянский_ВИ,sX525gdx
114,Баранкин Артём Алексеевич,382,9т,2,Баранкин_АА,OYq713UE
115,Шкабанова Софья Вадимовна,499,9х,4,Шкабанова_СВ,ySIQEn78
116,Полозлов Денис Адамович,155,8т,3,Полозлов_ДА,8oQ8b9R7
117,Жунина Светлана Михайловна,162,8в,3,Жунина_СМ,OmUWJ85y
118,Пантыкин Борис Игоревич,245,9х,2,Пантыкин_БИ,Gr5e1XP9
119,Доутова Марина Богдановна,189,11х,2,Доутова_МБ,60OH6u1F
120,Трещалова Яна Андреевна,330,8б,3,Трещалова_ЯА,09UwK8PY
121,Ивашечкин Александр Данилович,390,10т,4,Ивашечкин_АД,00qR2mB8
122,Мазьянова Инна Богдановна,416,11в,4,Мазьянова_ИБ,0LPN3594
123,Корогев Николай Евгеньевич,184,8б,5,Корогев_НЕ,JYs1gPm8
124,Заидова Галина Максимовна,88,9т,4,Заидова_ГМ,Ea15047B
125,Рамхин Кирилл Алексиевич,459,9х,4,Рамхин_КА,dBMen374
126,Кизбабаев Эдуард Фёдорович,415,11т,2,Кизбабаев_ЭФ,Ke8xvjh6
127,Соурчаков Ярослав Валериевич,268,8б,2,Соурчаков_ЯВ,WXC9o2Bq
128,Мотяшева Алена Михайловна,404,7т,2,Мотяшева_АМ,R2a75729
129,Горшкова Наталия Яковлевна,340,11а,2,Горшкова_НЯ,GZ540o01
130,Зябрицкий Игорь Виталиевич,332,7а,5,Зябрицкий_ИВ,7R6MJY8g
131,Шельдяев Игорь Юриевич,97,7д,5,Шельдяев_ИЮ,X99aFP59
132,Шмелькин Максим Викторович,483,9т,5,Шмелькин_МВ,8TyLx621
133,Жалкин Алексей Алексеевич,43,7а,3,Жалкин_АА,GXoqFz9r
134,Худасов Денис Максимович,70,10д,2,Худасов_ДМ,MwrG8bIh
135,Швичкова Наталья Эдуардовна,398,7г,4,Швичкова_НЭ,FLd18Na1
136,Едская Жанна Валерьевна,436,11в,4,Едская_ЖВ,Evu92D95
137,Поморзина Полина Евгеньевна,122,7д,4,Поморзина_ПЕ,87f3b6jP
138,Будачева Кира Олеговна,55,11х,4,Будачева_КО,4EZ0480e
139,Молкаев Василий Валериевич,216,8д,2,Молкаев_ВВ,O1FlorR0
140,Яцынин Константин Тимофеевич,285,7г,2,Яцынин_КТ,169Q8Dan
